pair_index,pair_t0_ns,pair_t1_ns,gt_t0_ns,gt_t1_ns,gt_tx,gt_ty,gt_tz,gt_rot_err_rad_ref0,ceres_tx,ceres_ty,ceres_tz,ceres_t_err_m,ceres_r_err_rad,gpu_tx,gpu_ty,gpu_tz,gpu_t_err_m,gpu_r_err_rad,gpu_available
76,1771545062224190136,1771545062324177624,1771545062226234968,1771545062325484472,8.34925e-06,-4.21773e-06,-3.53691e-05,0,0.00958048,-0.0368349,-0.00129771,0.0380752,0.0090957,0.00957617,-0.0368157,-0.00130155,0.0380557,0.0091088,1
77,1771545062324177624,1771545062424064184,1771545062325484472,1771545062422924472,8.719e-06,5.86475e-05,8.28685e-05,0,-0.0158001,-0.011792,-0.0398407,0.0445449,0.00961806,-0.0158027,-0.0117888,-0.0398405,0.0445448,0.00961806,1
78,1771545062424064184,1771545062523976792,1771545062422924472,1771545062522207064,2.4677e-05,-7.02832e-05,8.02656e-06,0,-0.00992189,-0.0149999,-0.0186449,0.0258797,0.0279995,-0.00990146,-0.0150002,-0.0186533,0.025878,0.0280335,1
79,1771545062523976792,1771545062624414872,1771545062522207064,1771545062625415608,6.3716e-05,0.00022274,-3.45633e-05,0,0.00074314,0.0137474,-0.0115707,0.0177893,0.0124966,0.000744695,0.0137539,-0.0115729,0.0177958,0.0124966,1
80,1771545062624414872,1771545062724772760,1771545062625415608,1771545062725800984,-8.63523e-05,-0.000198325,3.46457e-07,0,-0.024857,-0.0418603,-0.0121976,0.049981,0.0177672,-0.0248603,-0.0418513,-0.0121996,0.0499755,0.0177739,1
81,1771545062724772760,1771545062824477368,1771545062725800984,1771545062825431448,4.84941e-05,-6.12166e-06,-9.02256e-05,0,-0.0299144,-0.00377873,-0.0396571,0.049775,0.0239712,-0.0299128,-0.0037814,-0.0396569,0.049774,0.0239712,1
82,1771545062824477368,1771545062924473880,1771545062825431448,1771545062925765560,-4.98587e-05,5.91161e-05,9.13945e-05,0,0.00548227,-0.0269339,-0.00539791,0.0280956,0.00889694,0.00563276,-0.0268024,-0.00543583,0.0280069,0.00904313,1
83,1771545062924473880,1771545063024552280,1771545062925765560,1771545063025471928,4.75601e-05,3.46711e-06,-6.90476e-06,0,-0.00445808,-0.0464629,0.000390558,0.046686,0.020333,-0.00445734,-0.0464209,0.000376082,0.046644,0.0203565,1
84,1771545063024552280,1771545063124468984,1771545063025471928,1771545063125295672,-1.76375e-05,-2.63872e-05,-2.0092e-05,0,-0.018994,-0.0117452,-0.0333967,0.0401427,0.01749,-0.0189921,-0.0117389,-0.0333991,0.0401419,0.0174968,1
85,1771545063124468984,1771545063224432120,1771545063125295672,1771545063225666680,-4.05838e-05,5.95295e-05,2.75448e-06,0,-0.00694579,-0.0184979,-0.0200023,0.0281472,0.0224614,-0.00694072,-0.0185152,-0.0199979,0.0281542,0.022472,1
86,1771545063224432120,1771545063325039768,1771545063225666680,1771545063325662936,3.12933e-05,-8.76176e-05,-1.82061e-05,0,0.01428,-0.00924077,-0.00747785,0.0185055,0.0283086,0.0142659,-0.00916831,-0.00749277,0.0184649,0.0283675,1
87,1771545063325039768,1771545063424887576,1771545063325662936,1771545063424455960,1.68608e-05,-9.86142e-06,6.33927e-05,0,-0.021523,-0.0319805,-0.0198319,0.043381,0.00790354,-0.021524,-0.0319728,-0.019834,0.0433768,0.00790354,1
88,1771545063424887576,1771545063526842392,1771545063424455960,1771545063526691192,-3.868e-05,-4.13975e-07,-4.39605e-05,0,-0.0436833,-0.0136925,0.00721265,0.046314,0.0160616,-0.043682,-0.0137034,0.00721611,0.0463165,0.0160764,1
89,1771545063526842392,1771545063624241144,1771545063526691192,1771545063625302360,1.59979e-06,-8.2926e-06,1.83623e-05,0,0.0168695,-0.0313478,-0.016425,0.0392056,0.0138625,0.0168688,-0.0313426,-0.0164269,0.0392019,0.0138711,1
90,1771545063624241144,1771545063724305496,1771545063625302360,1771545063725086968,2.1324e-05,-9.18504e-07,-4.8976e-06,0,-0.024645,-0.0492057,-0.00334773,0.0551427,0.0233769,-0.0246306,-0.0492159,-0.00335023,0.0551455,0.0233922,1
91,1771545063724305496,1771545063824865912,1771545063725086968,1771545063785067576,-5.26711e-05,2.65883e-05,-5.82547e-05,0,0.00303548,0.00732521,-0.0210926,0.0224778,0.0167448,0.00303404,0.00733031,-0.0210934,0.02248,0.016759,1
92,1771545063824865912,1771545063928969432,1771545063785067576,1771545063928855608,5.93879e-05,3.19848e-05,8.55074e-06,0,0.00809026,-0.0313513,-0.0200759,0.0381155,0.0126389,0.00809183,-0.0313524,-0.0200763,0.038117,0.0126389,1
93,1771545063928969432,1771545064024158584,1771545063928855608,1771545064025552408,2.7417e-05,-3.85745e-05,1.30269e-05,0,0.00265603,-0.0079719,-0.00991265,0.0129756,0.0279825,0.00265609,-0.00793278,-0.00992431,0.0129607,0.0280123,1
94,1771545064024158584,1771545064124180984,1771545064025552408,1771545064126286616,-4.10478e-05,1.27142e-05,7.10032e-05,0,-0.0179732,-0.0129856,-0.00224411,0.0222683,0.00308816,-0.0179894,-0.0129845,-0.00223807,0.0222801,0.00312653,1
